TITULO,AUTOR,DATA_PUBLICACAO,ISBN,EDITORA,CATEGORIA
O Templo Perdido,Arqueólogo Ancient,06/04/2000,978-0000000119,Psi5,Aventura
Manual de Bonsai,Mestre Tree,24/11/2009,978-0000000120,Omega5,Jardinagem
A Academia dos Ninjas,Sensei Shadow,13/06/1997,978-0000000121,Alfa6,Artes Marciais
Segredos do Universo,Cosmólogo Big,01/01/2013,978-0000000122,Beta6,Cosmologia
O Diário da Bruxa,Wicca Moon,26/08/2004,978-0000000123,Gama6,Esoterismo
Manual de Escalada,Montanhista High,18/03/2008,978-0000000124,Delta6,Esporte
A Cidade dos Anjos,Teólogo Heaven,09/10/1999,978-0000000125,Épsilon6,Religião
Lições de Caligrafia,Calígrafo Beautiful,31/05/2011,978-0000000126,Zeta6,Caligrafia
O Portal das Almas,Medium Spirit,14/12/2005,978-0000000127,Eta6,Espiritismo
Guia de Cogumelos,Micologista Fun,07/07/1996,978-0000000128,Teta6,Micologia
A Torre dos Magos,Arquimago Power,23/02/2014,978-0000000129,Iota6,Fantasia
Manual de Marcenaria,Marceneiro Wood,15/09/2002,978-0000000130,Kappa6,Marcenaria
O Segredo da Ilha,Náufrago Lost,02/04/2007,978-0000000131,Lambda6,Aventura
Lições de Harpa,Harpista Angel,20/11/1998,978-0000000132,Mu6,Música
A Máquina Dimensional,Físico Quantum,12/06/2010,978-0000000133,Nu6,Ficção Científica
Guia de Minerais,Mineralogista Rock,29/01/2001,978-0000000134,Xi6,Mineralogia
O Castelo dos Ventos,Bardo Song,17/08/2012,978-0000000135,Ômicron6,Fantasia
Segredos da Energia,Físico Power,04/03/1995,978-0000000136,Pi6,Física
A Caverna Proibida,Espeleólogo Cave,22/10/2006,978-0000000137,Rô6,Espeleologia
Manual de Aquarela,Aquarelista Water,16/05/2009,978-0000000138,Sigma6,Arte
O Laboratório da Mente,Neurocientista Brain,03/12/2003,978-0000000139,Tau6,Neurociência
Lições de Flauta,Flautista Wind,27/07/1999,978-0000000140,Upsilon6,Música
A Jornada Espiritual,Guru Light,11/01/2015,978-0000000141,Phi6,Espiritualidade
Guia de Borboletas,Lepidopterista Wing,08/08/2004,978-0000000142,Chi6,Entomologia
O Mistério da Mansão Sombria,Investigador Dark,25/04/2008,978-0000000143,Psi6,Terror
Manual de Vitral,Vidreiro Color,19/11/2001,978-0000000144,Omega6,Arte
A Academia dos Elementos,Mestre Four,06/02/2011,978-0000000145,Alfa7,Fantasia
Segredos do Tempo,Cronólogo When,30/09/1997,978-0000000146,Beta7,Ficção Científica
O Diário do Explorador,Aventureiro Map,13/05/2013,978-0000000147,Gama7,Aventura
Lições de Vida,Sábio Ancient,21/12/2006,978-0000000148,Delta7,Filosofia
A Última Magia,Feiticeiro Final,09/06/2002,978-0000000149,Épsilon7,Fantasia
Manual do Destino,Oráculo Future,28/03/2009,978-0000000150,Zeta7,Esoterismo
